Stock,Sales_Growth,Operating_Profit_Growth,Growth Indicator,Sector,Industry,PB Ratio,Industry PE,Value Indicator,EPS,PE Ratio,D/E Ratio,Beta,Buffett Filter,Lynch Filter
20MICRONS.NS,,,0,Basic Materials,Other Industrial Metals & Mining,1.8697876,30.52503093096155,1,17.67710053419863,12.860706401492793,37.974,0.638,1,0
21STCENMGM.NS,136.13943704297304,114.49978089812716,0,Financial Services,Capital Markets,1.3839599,17.651675672503675,1,11.750190476190475,5.7216093761398,,0.579,0,0
3IINFOLTD.NS,,,0,Technology,Information Technology Services,1.3606043,28.639208088017433,1,1.4944554112514912,16.514376952426037,20.695,0.203,0,0
3MINDIA.NS,,,0,Industrials,Conglomerates,17.913612,37.06889119214899,0,422.60377555458894,69.47405986013838,5.39,0.187,0,0
5PAISA.NS,99.18662638322655,-15.247155625264519,0,Financial Services,Capital Markets,2.1215825,17.651675672503675,1,21.84626690103191,15.5,36.017,0.567,0,0
63MOONS.NS,,,0,Technology,Software - Application,1.1406785,-3.0326694764183926,1,-8.882212051173541,-95.30846540509597,0.083,0.564,0,0
A2ZINFRA.NS,-26.24688733255517,,0,Industrials,Engineering & Construction,7.5048285,9.016105709649487,0,0.5094878491937316,38.13633638318975,344.75,0.091,0,0
AAKASH.NS,12.497395456186243,9.915215716156533,0,Energy,Oil & Gas Equipment & Services,1.3801092,7.503639587648968,0,0.5005067061728395,16.663113395167887,29.875,0.461,0,0
AAREYDRUGS.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,9.366938,40.83915690002742,1,1.4191498291264464,38.8894807773553,25.17,0.398,0,0
AARON.NS,57.134146341463406,61.034567381853876,0,Industrials,Specialty Industrial Machinery,10.964562,33.12820821527111,0,7.462093724936027,53.36303920565053,89.772,0.373,0,0
AARTIDRUGS.NS,-4.496543577648307,-5.584082641558727,0,Healthcare,Drug Manufacturers - Specialty & Generic,3.0843723,40.83915690002742,1,18.424454913991454,25.083510049952427,44.917,0.412,0,0
AARTIIND.NS,-18.02082366931777,-15.463664374806582,0,Basic Materials,Specialty Chemicals,3.0936563,36.470734724695,0,9.130531082423039,52.22587773869718,68.635,0.571,0,0
AARTISURF.NS,41.17483802868166,4.878511584458045,0,Basic Materials,Specialty Chemicals,2.1308486,36.470734724695,1,17.19536655435361,34.10511768657352,47.456,1.237,0,0
AARVEEDEN.NS,,,0,Consumer Cyclical,Textile Manufacturing,9.58109,-84.48168306527056,0,7.197517805645797,20.27365599367313,263.721,0.293,0,0
AARVI.NS,2.11133630332116,8.04720664684116,0,Industrials,Staffing & Employment Services,1.395418,16.414035253756065,0,6.861201298701299,16.414035253756065,28.251,0.092,0,0
AAVAS.NS,15.40959725840882,21.167455601377995,0,Financial Services,Mortgage Finance,3.4883301,16.535007468294403,0,72.52788325605896,26.504289298135717,319.17,0.359,0,0
ABAN.NS,,,0,Energy,Oil & Gas Drilling,-0.011045833,-0.3155193146809343,0,-152.38369812200057,-0.3155193146809343,,-0.16,0,0
